drug_serial	drug_all_name	highest_phase	disease_condition	formula	target_name	target_id	tr_smiles	modulator_serial	mod_feature	cas_id	basic_patent	drugbank_id	pubmed_id	ref_title
ADR000001	CCD-1042, Ganaxolone(Prop INN; USAN)	Phase III	Infantile spasm (West syndrome); Epilepsy, focal seizures; Genetic epilepsy disorders; Fragile X syndrome; Postpartum depression; Stress, post-traumatic; Epilepsy, status epilepticus; Epileptic encephalopathy, early infantile	C22H36O2	Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit alpha-2;Gamma-aminobutyric acid receptor subunit alpha-3;Gamma-aminobutyric acid receptor subunit alpha-4;Gamma-aminobutyric acid receptor subunit alpha-5;Gamma-aminobutyric acid receptor subunit alpha-6	ASD01140000_3;ASD01140000_12;ASD01140000_13;ASD01140000_14;ASD01140000_15;ASD01140000_16	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@](C)(O)CC[C@]12C	ASD01140224	Activator;Activator;Activator;Activator;Activator;Activator	38398-32-2	GB 1380248; US 2007141161; US 2007148252; US 2015335659; US 2017182061; US 2018071315; US 2018296487; US 2018344708; US 3953429; US 5319115; WO 1993003732; WO 1993005786; WO 1995021617; WO 2006010085; WO 2007062266; WO 2008066899; WO 2011019821; WO 2016127170; WO 2017066626; WO 2018031748	DB05087	17199022	Ganaxolone.
ADR000002	CX717	Preclinical	Alzheimer's disease	C14H17NO3	Glutamate receptor 1;Glutamate receptor 2;Glutamate receptor 3;Glutamate receptor 4	ASD03930000_1;ASD01230000_1;ASD04920000_2;ASD12990000_1	O=C(N1CCCCC1)c1ccc2OCCOc2c1	ASD03930089	Activator;Activator;Activator;Activator	191744-13-5	WO 1998011892; WO 1998050036; WO 2008025148; WO 2010054336	DB05047	16104830	Facilitation of task performance and removal of the effects of sleep deprivation by an ampakine (CX717) in nonhuman primates.
ADR000003	Drotaverine;Drotaverin;Drotin;INN	Approved	Irritable bowel syndrome	C24H31NO4	Voltage-dependent L-type calcium channel subunit alpha-1C	ASD07150000_1		ASD07150007	Inhibitor	14009-24-6		DB06751	12163106	Drotaverine interacts with the L-type Ca(2+) channel in pregnant rat uterine membranes.
ADR000004	Lorazepam	Approved	Anxiety disorder	C15H10Cl2N2O2	Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit beta-2;Gamma-aminobutyric acid receptor subunit beta-3;Gamma-aminobutyric acid receptor subunit delta;Gamma-aminobutyric acid receptor subunit gamma-2	ASD01140000_3;ASD01140000_2;ASD01140000_10;ASD01140000_11;ASD01140000_1		ASD13350001	Activator;Activator;Activator;Activator;Activator	846-49-1		DB00186	10565838	Binding, partial agonism, and potentiation of alpha(1)-adrenergic receptor function by benzodiazepines: A potential site of allosteric modulation.
ADR000005	Carglumic Acid	Approved	Acute hyperammonaemia	C6H10N2O5	Carbamoyl-phosphate synthase [ammonia], mitochondrial	ASD07260000_1		ASD07260004	Activator	1188-38-1		DB06775	21941437	Role of carglumic acid in the treatment of acute hyperammonemia due to N-acetylglutamate synthase deficiency.
ADR000006	Flurazepam	Approved	Insomnia	C21H23ClFN3O	Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit beta-2;Gamma-aminobutyric acid receptor subunit beta-3;Gamma-aminobutyric acid receptor subunit delta;Gamma-aminobutyric acid receptor subunit gamma-2	ASD01140000_3;ASD01140000_2;ASD01140000_10;ASD01140000_11;ASD01140000_1		ASD01140278	Activator;Activator;Activator;Activator;Activator	17617-23-1		DB00690	21447642	Different residues in the GABAA receptor benzodiazepine binding pocket mediate benzodiazepine efficacy and binding.
ADR000007	Ketazolam	Approved	Anxiety disorder	C20H17ClN2O3	Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit beta-2;Gamma-aminobutyric acid receptor subunit beta-3;Gamma-aminobutyric acid receptor subunit delta;Gamma-aminobutyric acid receptor subunit gamma-2	ASD01140000_3;ASD01140000_2;ASD01140000_10;ASD01140000_11;ASD01140000_1		ASD01140752	Activator;Activator;Activator;Activator;Activator	27223-35-4		DB01587		
ADR000008	Trametinib	Approved	Melanoma	C26H23FIN5O4	Dual specificity mitogen-activated protein kinase kinase 1;Dual specificity mitogen-activated protein kinase kinase 2	ASD01940000_1;ASD01950000_1		ASD01941033	Inhibitor;Inhibitor	871700-17-3		DB08911	21245089	GSK1120212 (JTP-74057) is an inhibitor of MEK activity and activation with favorable pharmacokinetic properties for sustained in vivo pathway inhibition.
ADR000009	Cinacalcet	Approved	Hyperparathyroidism	C22H22F3N	Extracellular calcium-sensing receptor	ASD00460000_1		ASD00460003	Activator	226256-56-0	US20070259964	DB01012		
ADR000010	Ticagrelor	Approved	Stroke;Acute coronary syndrome undergoing percutaneous coronary intervention;	C23H28F2N6O4S	P2Y purinoceptor 12	ASD13170000_1		ASD13170002	Inhibitor	274693-27-5	US20130165696	DB08816		
ADR000011	Clonazepam	Approved	Epilepsy	C15H10ClN3O3	Gamma-aminobutyric acid receptor subunit alpha-1;Gamma-aminobutyric acid receptor subunit beta-2;Gamma-aminobutyric acid receptor subunit beta-3;Gamma-aminobutyric acid receptor subunit delta;Gamma-aminobutyric acid receptor subunit gamma-2	ASD01140000_3;ASD01140000_2;ASD01140000_10;ASD01140000_11;ASD01140000_1		ASD01140147	Activator;Activator;Activator;Activator;Activator	1622-61-3	US3116203	DB01068		
ADR000012	ADX10059	Phase II	Reflux, Gastroesophageal;Migraines		Metabotropic glutamate receptor 5	ASD01910000_1			Inhibitor		US20170275265	DB05070		
ADR000013	Sirolimus	Approved	immunosuppressive 	C51H79NO13	Peptidyl-prolyl cis-trans isomerase FKBP1A 	ASD12310000_1		ASD05723001	Inhibitor	53123-88-9	US20080167335	DB00877		
ADR000014	Enasidenib	Approved	acute myeloid leukemia	C19H17F6N7O	Isocitrate dehydrogenase [NADP], mitochondrial 	ASD01720000_11		ASD01720154	Inhibitor	1446502-11-9		DB13874	29184081	Allosteric inhibitor remotely modulates the conformation of the orthestric pockets in mutant IDH2/R140Q.
ADR000015	Rilpivirine	Approved	Others	C22H18N6	HIV-1 reverse transcriptase	ASD13680000_2		ASD02560066	Inhibitor	500287-72-9	US5914331	DB08864		
ADR000016	Rifapentine	Approved	Others	C47H64N4O12	DNA-directed RNA polymerase subunit beta 	ASD03670000_4		ASD03670007	Inhibitor	61379-65-5		DB01201	16096056	Allosteric modulation of the RNA polymerase catalytic reaction is an essential component of transcription control by rifamycins.
ADR000017	Cyclothiazide, Anhydron; Doburil	Approved	Hypertension	C14H16ClN3O4S2	Glutamate receptor 2 	ASD01230000_2	NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C2CC3CC2C=C3)cc1Cl |c:21|	ASD01230043	Activator	2259-96-3	WO 2005007106; WO 2010054336	DB00606	7529311	Cyclothiazide acts at a site on the alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionic acid receptor complex that does not recognize competitive or noncompetitive AMPA receptor antagonists.
ADR000018	Piracetam	Approved	Others	C6H10N2O2	Glutamate receptor 3 	ASD04920000_1		ASD04920001	Activator	7491-74-9		DB09210	20163115	Piracetam defines a new binding site for allosteric modulators of alpha-amino-3-hydroxy-5-methyl-4-isoxazole-propionic acid (AMPA) receptors.
ADR000019	maraviroc	Approved	Others	C29H41F2N5O	C-C chemokine receptor type 5	ASD00600000_2		ASD00600010	Inhibitor	376348-65-1		DB04835	21118814	New insights into the mechanisms whereby low molecular weight CCR5 ligands inhibit HIV-1 infection.
ADR000020	Ivermectin	Approved	Others	C95H146O28	Gamma-aminobutyric acid type B receptor;Neuronal acetylcholine receptor subunit alpha-7;Glycine receptor subunit alpha-3	ASD01150000_1;ASD13620000_1;ASD03090000_1		ASD01150592	Activator;Activator;Activator	70288-86-7		DB00602	9463487	Ivermectin: a positive allosteric effector of the alpha7 neuronal nicotinic acetylcholine receptor.
ADR000021	Cobimetinib	Approved	Others	C21H21F3IN3O2	DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASEKINASE 1	ASD01940000_1		ASD01941075	Inhibitor	934660-93-2	US7803839	DB05239		
ADR000023	BNC-210	Phase II	Agitation	C17H23N3O3	Alpha7 nicotinic acetylcholine receptor	ASD03090000_1		ASD03091919	Inhibitor					
ADR000024	mavoglurant	Phase II	Fragile X syndrome	C19H23NO3	Metabotropic glutamate receptor 5	ASD01910000_1		ASD01916286	Inhibitor	543906-09-8	US20130331568	DB13004		
ADR000025	ADX-48621, Dipraglurant(Prop INN)	Phase II	Parkinson's disease levodopa-induced dyskinesia	C16H12FN3	Metabotropic glutamate receptor 5	ASD01910000_1	Fc1ccc2nc(CCC#Cc3ccccn3)cn2c1	ASD01914228	Inhibitor	872363-17-2	WO 2005123703; WO 2013139941; WO 2013186311;US8101637	DB12733		
